CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer_name,from,until,null,PRICE         
36,5202336127764,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.LEMON 1250ML,0.93,0.74,7568679.jpg,1,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
36,5202336127801,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.PINK 1250ML,0.93,0.74,7568692.jpg,1,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
37,5201314195542,AVA ACTION ΞΥΔΙ&ΠΡ.ΜΗΛΟ 430ML,1.00,2.33,default_kalathi.png,0,Απορρυπαντικά Πιάτων,lt,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
38,5202336021536,ΑΒ ΧΑΡΤΙ ΚΟΥΖΙΝΑΣ 800GR,2.50,3.13,7114202.jpg,1,Χαρτί Κουζίνας,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
39,8006540948163,ORALB ΟΔ/ΜΑ 1 2 3 75ML,1.05,14.00,7111750.jpg,0,Οδοντόκρεμα,kg,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
40,5202336111510,365 ΧΑΡΤΙ ΥΓΕΙΑΣ 10ΡΟΛΑ 2PLY,2.46,0.25,7353743.jpg,1,Χαρτί Υγείας,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
41,5201263006340,E.DAY U.P.HDRY ECONOMY NORMAL 18Τ,2.15,0.12,7113983.jpg,0,Σερβιέτες ή Ταμπόν,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
41,5201263006357,E.DAY U.P.HDRY ECONOMY SUPER 18T,2.15,0.12,7113996.jpg,0,Σερβιέτες ή Ταμπόν,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
41,5201263006364,E.DAY U.P.HDRY ECON.MAXI NIGHT 18Τ,2.15,0.12,7113984.jpg,0,Σερβιέτες ή Ταμπόν,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
41,5400113567189,CARE TAMPON CONT REGULAR 32T,2.66,0.08,7298195.jpg,1,Σερβιέτες ή Ταμπόν,τμχ,,ΑΒ Βασιλόπουλος,24-07-2024,30-07-2024,,
