barcode,name,parent_categ,category_name,category_uuid,price,price_normalized,unit,image,diabetes,merchant_name,merchant_displayname,pl,from,until
3813714,ΦΑΚΕΣ ΨΙΛΕΣ ΘΕΣΣΑΛΙΑΣ AGRIFARM 500ΓΡ,Τρόφιμα Παντοπωλείου,Φακές,32,1.92,3.84,kg,3813714_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
1515410,ΦΑΚΕΣ ΨΙΛΕΣ MR GRAND 500ΓΡ,Τρόφιμα Παντοπωλείου,Φακές,32,1.09,2.18,kg,1515410_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
0784256,MR GRAND ΦΥΣΙΚΟΣ ΧΥΜΟΣ ΠΟΡΤΟΚΑΛΙ 1L,"Αναψυκτικά, Νερά & Χυμοί",Χυμός Πορτοκάλι,33,0.99,0.99,lt,0784256_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3278074,ΥΓΡΟ ΑΠΟΡΡΥΠΑΝΤΙΚΟ ΠΛΥΝΤΗΡΙΟΥ ΡΟΥΧΩΝ MR GRAND 3L 60ΜΕΖ ΓΙΑΣΕΜΙ,Απορρυπαντικά & Είδη Καθαρισμού,Απορρυπαντικά Πλυντηρίου,35,5.49,0.09,μεζ,3278074_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
4032439,DIXAN GEL MULTICOLOR 32ΜΕΖ 1.44L,Απορρυπαντικά & Είδη Καθαρισμού,Απορρυπαντικά Πλυντηρίου,35,5.63,0.18,μεζ,default_kalathi.png,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
3918968,ΥΓΡΟ ΓΕΝΙΚΟΥ ΚΑΘΑΡΙΣΜΟΥ ULTRA GREEN APPLE MR GRAND 2LT,Απορρυπαντικά & Είδη Καθαρισμού,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,36,1.99,1.0,lt,3918968_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
4016879,MR GRAND ΥΓΡΟ ΓΕΝIKOY ΚΑΘΑΡΙΣΜΟΥ ΚΕΡΑΣΙ 4L,Απορρυπαντικά & Είδη Καθαρισμού,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,36,2.63,0.66,lt,default_kalathi.png,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3934890,ΥΓΡΟ ΓΕΝΙΚΟΥ ΚΑΘΑΡΙΣΜΟΥ ULTRA ΓΙΑΣΕΜΙ MR GRAND 2L,Απορρυπαντικά & Είδη Καθαρισμού,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,36,1.99,1.0,lt,3934890_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3891702,ΥΓΡΟ ΠΙΑΤΩΝ MR GRAND ORANGE FRESH 500ML,Απορρυπαντικά & Είδη Καθαρισμού,Απορρυπαντικά Πιάτων,37,0.89,1.78,lt,3891702_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3865318,ΥΓΡΟ ΠΙΑΤΩΝ MR GRAND PROFESSIONAL 4L,Απορρυπαντικά & Είδη Καθαρισμού,Απορρυπαντικά Πιάτων,37,3.51,0.88,lt,3865318_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3891694,ΥΓΡΟ ΠΙΑΤΩΝ MR GRAND LEMON FRESH 500ML,Απορρυπαντικά & Είδη Καθαρισμού,Απορρυπαντικά Πιάτων,37,0.89,1.78,lt,3891694_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3844560,ΧΑΡΤΙ ΚΟΥΖΙΝΑΣ MR GRAND 2Φ 650ΓΡ,"Χαρτικά, Πάνες & Σερβιέτες",Χαρτί Κουζίνας,38,1.99,3.06,kg,3844560_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3972056,ΧΑΡΤΙ ΚΟΥΖΙΝΑΣ SOFTEX PROECO 2ΦΥΛΛΟ 1Τ 433ΓΡ,"Χαρτικά, Πάνες & Σερβιέτες",Χαρτί Κουζίνας,38,1.88,4.34,kg,3972056_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
2533941,ΟΔ/ΜΑ COLG SENSAT WHITEN 2X75ML ΤΙΜΗ ΣΟΚ,Καλλυντικά & Είδη Προσωπικής υγιεινής,Οδοντόκρεμα,39,2.3,15.33,kg,2533941_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
0581074,ΧΑΡΤΙ ΥΓΕΙΑΣ MR GRAND ΓΚΟΦΡΕ 2Φ 8T 600ΓΡ,"Χαρτικά, Πάνες & Σερβιέτες",Χαρτί Υγείας,40,2.29,0.29,τμχ,0581074_1.jpg,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3768470,ΧΑΡΤΙ ΥΓΕΙΑΣ MR GRAND 2Φ DECO 20Τ 1.8Κ,"Χαρτικά, Πάνες & Σερβιέτες",Χαρτί Υγείας,40,6.15,0.31,τμχ,default_kalathi.png,,masoutis,Μασούτης,1,2024-07-24,2024-07-30
3972841,ΧΑΡΤΙ ΥΓΕΙΑΣ SOFTEX PURE CLASSIC 2ΦΥΛΛΟ 8Τ 496ΓΡ,"Χαρτικά, Πάνες & Σερβιέτες",Χαρτί Υγείας,40,2.13,0.27,τμχ,3972841_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
2581684,ΣΕΡΒ EVERY DAY UL PL HYP NORMAL ECON 18Τ,"Χαρτικά, Πάνες & Σερβιέτες",Σερβιέτες ή Ταμπόν,41,2.14,0.12,τμχ,2581684_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
2581700,ΣΕΡΒ EVERY DAY UL PL HYP SUPER ECON 18T,"Χαρτικά, Πάνες & Σερβιέτες",Σερβιέτες ή Ταμπόν,41,2.14,0.12,τμχ,2581700_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
2581718,ΣΕΡΒ EV DAY UL PL HYP MAX NIGHT ECON 18T,"Χαρτικά, Πάνες & Σερβιέτες",Σερβιέτες ή Ταμπόν,41,2.14,0.12,τμχ,2581718_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
3321981,ΝΙΦΑΔΕΣ ΒΡΩΜΗΣ CLASSIC MR GRAND 500ΓΡ,Είδη πρωινού & Ροφήματα,Προϊόντα Βρώμης,42,1.09,2.18,kg,3321981_1.jpg,diabetes,masoutis,Μασούτης,1,2024-07-24,2024-07-30
2392421,ΣΑΜΠ SYOSS ΟΓΚΟ 750ML,Καλλυντικά & Είδη Προσωπικής υγιεινής,Σαμπουάν,43,3.91,5.21,lt,2392421_1.jpg,,masoutis,Μασούτης,0,2024-07-24,2024-07-30
